kind,mode,round,log,cpu_p50_ms,cpu_p99_ms,measured_loop_wall_s,process_cpu_s,alloc_B_frame,rss_peak_MiB,private_peak_MiB,managed_heap_peak_MiB,managed_retained_peak_MiB,managed_retained_post_gc_MiB,gpu_main_p50_ms,gpu_main_p99_ms,vk_allocated_peak_MiB,cache_peak_MiB,image_resident_peak_MiB,text_resident_peak_MiB,readback_pool_resident_before_close_MiB,gpu_upload_samples,gpu_upload_p50_ms,gpu_upload_p99_ms,gpu_effects_samples,gpu_effects_p50_ms,gpu_effects_p99_ms,gpu_offscreen_samples,gpu_offscreen_p50_ms,gpu_offscreen_p99_ms
container,unchanged,1,logs/001-r1-container-unchanged.log.gz,0.64152,1.568006,1.523232301,2.091266,0.0,159.0078125,152.79296875,9.20294189453125,6.5009307861328125,6.500274658203125,0.017408,0.022528,6.0,0.25,0.0,0.25,0.0,2000,9.6e-05,0.000192,0,0.0,0.0,0,0.0,0.0
container,unchanged,2,logs/041-r2-container-unchanged.log.gz,0.750054,1.539412,1.659812153,2.142907,0.0,159.00390625,152.796875,9.195152282714844,6.5009307861328125,6.500274658203125,0.017408,0.018432,6.0,0.25,0.0,0.25,0.0,2000,9.6e-05,0.000256,0,0.0,0.0,0,0.0,0.0
container,unchanged,3,logs/053-r3-container-unchanged.log.gz,0.745306,1.332342,1.616216867,2.117468,0.0,158.95703125,152.8046875,9.194526672363281,6.5009307861328125,6.500274658203125,0.016384,0.018432,6.0,0.25,0.0,0.25,0.0,2000,9.6e-05,0.000256,0,0.0,0.0,0,0.0,0.0
container,sparse,1,logs/008-r1-container-sparse.log.gz,0.804798,1.71854,1.68923722,2.317124,664.0,159.609375,152.8984375,10.471336364746094,6.50048828125,6.50048828125,0.004096,0.014336,6.0,0.25,0.0,0.25,0.0,2000,9.6e-05,9.6e-05,0,0.0,0.0,0,0.0,0.0
container,sparse,2,logs/027-r2-container-sparse.log.gz,0.72697,1.576653,1.620257543,2.152554,664.0,159.4375,152.8984375,10.464179992675781,6.50048828125,6.50048828125,0.004096,0.014336,6.0,0.25,0.0,0.25,0.0,2000,9.6e-05,9.6e-05,0,0.0,0.0,0,0.0,0.0
container,sparse,3,logs/060-r3-container-sparse.log.gz,0.802774,1.632017,1.70294457,2.257293,664.0,159.65234375,152.89453125,10.464118957519531,6.50048828125,6.50048828125,0.004096,0.014336,6.0,0.25,0.0,0.25,0.0,2000,9.6e-05,9.6e-05,0,0.0,0.0,0,0.0,0.0
container,full,1,logs/015-r1-container-full.log.gz,3.087081,4.743113,6.501396666,6.825702,504160.0,192.83984375,185.1875,15.311904907226562,6.539039611816406,6.539039611816406,0.022528,0.03072,6.0,0.25,0.0,0.25,0.0,2000,9.6e-05,0.000256,0,0.0,0.0,0,0.0,0.0
container,full,2,logs/034-r2-container-full.log.gz,3.14498,4.363126,6.540328324,6.742748,504160.0,192.921875,185.1796875,15.312202453613281,6.539039611816406,6.539039611816406,0.028672,0.041984,6.0,0.25,0.0,0.25,0.0,2000,9.6e-05,0.000224,0,0.0,0.0,0,0.0,0.0
container,full,3,logs/046-r3-container-full.log.gz,3.122999,5.263494,6.743939252,7.04793,504160.0,193.0703125,185.1953125,15.314437866210938,6.539039611816406,6.539039611816406,0.019456,0.043008,6.0,0.25,0.0,0.25,0.0,2000,9.6e-05,0.000224,0,0.0,0.0,0,0.0,0.0
text,unchanged,1,logs/002-r1-text-unchanged.log.gz,1.298568,2.173017,2.812049561,3.052804,0.0,175.28125,164.6015625,13.00311279296875,10.326065063476562,10.322792053222656,0.069632,0.074752,6.0,0.25,0.0,0.25,0.0,2000,9.6e-05,0.000224,0,0.0,0.0,0,0.0,0.0
text,unchanged,2,logs/042-r2-text-unchanged.log.gz,1.312865,3.431379,2.931795079,3.17123,0.0,175.38671875,164.6171875,13.003868103027344,10.326065063476562,10.322792053222656,0.068608,0.073728,6.0,0.25,0.0,0.25,0.0,2000,9.6e-05,0.000224,0,0.0,0.0,0,0.0,0.0
