kind,mode,run_count,cpu_p50_ms_median,cpu_p50_ms_min,cpu_p50_ms_max,cpu_p99_ms_median,cpu_p99_ms_min,cpu_p99_ms_max,measured_loop_wall_s_median,measured_loop_wall_s_min,measured_loop_wall_s_max,process_cpu_s_median,process_cpu_s_min,process_cpu_s_max,alloc_B_frame_median,alloc_B_frame_min,alloc_B_frame_max,rss_peak_MiB_median,rss_peak_MiB_min,rss_peak_MiB_max,private_peak_MiB_median,private_peak_MiB_min,private_peak_MiB_max,managed_heap_peak_MiB_median,managed_heap_peak_MiB_min,managed_heap_peak_MiB_max,managed_retained_peak_MiB_median,managed_retained_peak_MiB_min,managed_retained_peak_MiB_max,managed_retained_post_gc_MiB_median,managed_retained_post_gc_MiB_min,managed_retained_post_gc_MiB_max,gpu_main_p50_ms_median,gpu_main_p50_ms_min,gpu_main_p50_ms_max,gpu_main_p99_ms_median,gpu_main_p99_ms_min,gpu_main_p99_ms_max,vk_allocated_peak_MiB_median,vk_allocated_peak_MiB_min,vk_allocated_peak_MiB_max,cache_peak_MiB_median,cache_peak_MiB_min,cache_peak_MiB_max,image_resident_peak_MiB_median,image_resident_peak_MiB_min,image_resident_peak_MiB_max,text_resident_peak_MiB_median,text_resident_peak_MiB_min,text_resident_peak_MiB_max,readback_pool_resident_before_close_MiB_median,readback_pool_resident_before_close_MiB_min,readback_pool_resident_before_close_MiB_max
container,unchanged,3,0.745306,0.64152,0.750054,1.539412,1.332342,1.568006,1.616216867,1.523232301,1.659812153,2.117468,2.091266,2.142907,0.0,0.0,0.0,159.00390625,158.95703125,159.0078125,152.796875,152.79296875,152.8046875,9.195152282714844,9.194526672363281,9.20294189453125,6.5009307861328125,6.5009307861328125,6.5009307861328125,6.500274658203125,6.500274658203125,6.500274658203125,0.017408,0.016384,0.017408,0.018432,0.018432,0.022528,6.0,6.0,6.0,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0
container,sparse,3,0.802774,0.72697,0.804798,1.632017,1.576653,1.71854,1.68923722,1.620257543,1.70294457,2.257293,2.152554,2.317124,664.0,664.0,664.0,159.609375,159.4375,159.65234375,152.8984375,152.89453125,152.8984375,10.464179992675781,10.464118957519531,10.471336364746094,6.50048828125,6.50048828125,6.50048828125,6.50048828125,6.50048828125,6.50048828125,0.004096,0.004096,0.004096,0.014336,0.014336,0.014336,6.0,6.0,6.0,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0
container,full,3,3.122999,3.087081,3.14498,4.743113,4.363126,5.263494,6.540328324,6.501396666,6.743939252,6.825702,6.742748,7.04793,504160.0,504160.0,504160.0,192.921875,192.83984375,193.0703125,185.1875,185.1796875,185.1953125,15.312202453613281,15.311904907226562,15.314437866210938,6.539039611816406,6.539039611816406,6.539039611816406,6.539039611816406,6.539039611816406,6.539039611816406,0.022528,0.019456,0.028672,0.041984,0.03072,0.043008,6.0,6.0,6.0,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0
text,unchanged,3,1.298568,1.292868,1.312865,2.173017,2.130056,3.431379,2.814698062,2.812049561,2.931795079,3.093261,3.052804,3.17123,0.0,0.0,0.0,175.33203125,175.28125,175.38671875,164.6015625,164.6015625,164.6171875,13.00311279296875,13.003089904785156,13.003868103027344,10.326065063476562,10.326065063476562,10.326065063476562,10.322792053222656,10.322792053222656,10.322792053222656,0.069632,0.068608,0.069632,0.074752,0.073728,0.08704,6.0,6.0,6.0,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0
text,sparse,3,1.333404,1.207957,1.381504,2.412739,1.894292,3.10254,2.872906009,2.59518266,3.02449937,3.391477,3.158692,3.401296,776.0,776.0,776.0,176.0703125,175.984375,176.265625,163.90234375,163.8984375,163.90234375,14.540878295898438,14.532745361328125,14.540878295898438,10.373023986816406,10.373023986816406,10.373023986816406,10.323013305664062,10.323013305664062,10.323013305664062,0.024576,0.024576,0.024576,0.06144,0.058368,0.062464,6.0,6.0,6.0,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0
text,full,3,4.135056,4.069554,4.231779,6.243432,5.406384,21.492914,8.629935108,8.385410672,10.38691919,9.052518,8.656972,9.698859,616160.0,616160.0,616160.0,212.6015625,212.50390625,212.7265625,200.8671875,200.7109375,200.87109375,19.654014587402344,19.606201171875,19.669700622558594,10.361564636230469,10.361564636230469,10.367424011230469,10.361564636230469,10.361564636230469,10.367424011230469,0.1024,0.079872,0.310272,0.136192,0.09728,0.437248,6.0,6.0,6.0,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0
image,unchanged,3,1.407124,1.380993,1.468309,2.288566,2.074712,2.541902,3.053127544,2.96694477,3.087117,3.318282,3.18673,3.387465,0.0,0.0,0.0,176.6015625,176.5546875,176.6875,153.859375,153.859375,153.96484375,10.616958618164062,10.616691589355469,10.616973876953125,7.93060302734375,7.93060302734375,7.93060302734375,7.9099884033203125,7.9099884033203125,7.9099884033203125,0.017408,0.017408,0.017408,0.0256,0.022528,0.0256,22.0,22.0,22.0,0.2500038146972656,0.2500038146972656,0.2500038146972656,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,0.25,0.25,0.25,0.0,0.0,0.0
image,sparse,3,1.217636,1.202587,1.296033,1.921132,1.866319,2.589201,2.580227063,2.571346467,2.827747173,3.08783,3.053953,3.10712,640.0,640.0,640.0,177.1015625,177.0859375,177.1640625,153.94140625,153.87890625,153.94921875,11.839012145996094,11.8389892578125,11.846847534179688,7.929100036621094,7.929100036621094,7.929100036621094,7.9102020263671875,7.9102020263671875,7.9102020263671875,0.004096,0.004096,0.004096,0.01536,0.01536,0.018432,22.0,22.0,22.0,0.2500038146972656,0.2500038146972656,0.2500038146972656,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,0.25,0.25,0.25,0.0,0.0,0.0
image,full,3,3.676091,3.602663,3.790717,5.948236,5.202549,6.226911,7.859333392,7.551796228,7.953261524,8.171637,7.877898,8.355776,480160.0,480160.0,480160.0,220.890625,220.86328125,220.9609375,196.484375,196.27734375,196.50390625,16.533355712890625,16.530677795410156,16.53583526611328,7.948753356933594,7.948753356933594,7.948753356933594,7.948753356933594,7.948753356933594,7.948753356933594,0.043008,0.023552,0.054272,0.05632,0.033792,0.08192,22.0,22.0,22.0,0.2500038146972656,0.2500038146972656,0.2500038146972656,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,0.25,0.25,0.25,0.0,0.0,0.0
shape,unchanged,3,0.924994,0.90676,0.938359,1.777982,1.625004,1.817306,2.04061841,2.038392261,2.06572954,2.347689,2.327509,2.413965,0.0,0.0,0.0,160.91796875,160.87890625,160.9609375,153.92578125,153.90234375,153.97265625,9.408912658691406,9.402870178222656,9.410820007324219,6.716575622558594,6.716575622558594,6.716575622558594,6.7159423828125,6.7159423828125,6.7159423828125,0.14336,0.14336,0.144384,0.149504,0.147456,0.149504,6.0,6.0,6.0,0.25034332275390625,0.25034332275390625,0.25034332275390625,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0
